rank,name,town
55,Institut National des Sciences Appliquées de Lyon,Villeurbanne
126,Institut National des Sciences Appliquées de Rennes,Rennes
125,Institut National des Sciences Appliquées de Rouen,Saint-Étienne-du-Rouvray
147,Institut National des Sciences Appliquées de Strasbourg,Strasbourg
104,Institut National des Sciences Appliquées de Toulouse,Toulouse
101,Institut national du service public,Strasbourg
133,Institut National Polytechnique de Toulouse,Toulouse
146,Institut National Universitaire Champollion,Albi
166,Institut Polytechnique des Sciences Avancées,Ivry-sur-Seine
185,Institut Supérieur d'Agriculture et d'Agroalimentaire Rhône-Alpes,Lyon
177,Institut Supérieur de Gestion,Paris
94,Institut Supérieur de l'Aéronautique et de l'Espace,Toulouse
162,Institut Supérieur d'Électronique de Paris,Paris
196,Institut Supérieur des Biotechnologies de Paris,Villejuif
223,Institut Supérieur des Matériaux et Mécaniques Avancés du Mans,Le Mans
225,Institut Supérieur du Bâtiment et des Travaux Publics,Marseille
192,Institute of Intercultural Management and Communication,Arcueil
136,IPAG Business School,Paris
169,ISC Paris Business School,Paris
202,ITECH Institut Textile et Chimique de Lyon,Écully
106,Junia,Lille
83,KEDGE Business School,Talence
76,La Rochelle Université,La Rochelle
59,Le Mans Université,Le Mans
141,L'École de design Nantes Atlantique,Nantes
41,Mines Paris,Paris
132,Montpellier Business School,Montpellier
109,Montpellier SupAgro,Montpellier
19,Nantes Université,Nantes
90,NEOMA Business School,Mont-Saint-Aignan
128,Rennes School of Business,Rennes
75,SKEMA Business School,Lille
4,Sorbonne Université,Paris
224,South Champagne Business School,Troyes
197,Strate Ecole de Design,Sèvres
188,Supméca - Institut Supérieur de Mécanique,Saint-Ouen
40,Télécom Paris,Paris
81,Télécom SudParis,Évry
97,The American University of Paris,Paris
138,Toulouse Business School,Toulouse
114,UniLaSalle,Beauvais
68,Université Bordeaux Montaigne,Pessac
20,Université Bourgogne-Europe,Dijon
87,Université Bretagne Sud,Lorient
103,Université Catholique de Lille,Lille
116,Université Catholique de l'Ouest,Angers
122,Université Catholique de Lyon,Lyon
9,Université Claude Bernard Lyon 1,Villeurbanne
23,Université Clermont Auvergne,Clermont-Ferrand
10,Université Côte d'Azur,Nice
31,Université d'Angers,Angers
86,Université d'Artois,Arras
8,Université de Bordeaux,Bordeaux
42,Université de Bretagne Occidentale,Brest
18,Université de Caen Normandie,Caen
100,Université de Corse Pasquale Paoli,Corte
29,Université de Franche-Comté,Besançon
70,Université de Haute-Alsace,Mulhouse
3,Université de Lille,Lille
43,Université de Limoges,Limoges
6,Université de Lorraine,Nancy
13,Université de Montpellier,Montpellier
153,Université de Nîmes,Nîmes
2,Université de Paris,Paris
52,Université de Pau et des Pays de l'Adour,Pau
73,Université de Perpignan Via Domitia,Perpignan
50,Université de Picardie Jules Verne,Amiens
24,Université de Poitiers,Poitiers
53,Université de Reims Champagne-Ardenne,Reims
62,Université de Rennes,Rennes
46,Université de Rouen Normandie,Mont-Saint-Aignan
1,Université de Strasbourg,Strasbourg
113,Université de Technologie de Belfort-Montbéliard,Belfort
51,Université de Technologie de Compiègne,Compiègne
112,Université de Technologie de Troyes,Troyes
78,Université de Toulon,La Garde
25,Université de Tours,Tours
49,Université de Versailles Saint-Quentin-en-Yvelines,Versailles
96,Université d'Évry-Val d'Essonne,Évry
60,Université d'Orléans,Orléans
84,Université du Littoral Côte d'Opale,Dunkerque
5,Université Grenoble Alpes,Saint-Martin-d'Hères
28,Université Gustave Eiffel,Marne-la-Vallée
58,Université Jean Monnet,Saint-Étienne
54,Université Jean Moulin Lyon 3,Lyon
110,Université Le Havre Normandie,Le Havre
26,Université Lumière Lyon 2,Lyon
15,Université Paris 1 Panthéon-Sorbonne,Paris
30,Université Paris 8 Vincennes-Saint-Denis,Saint-Denis
22,Université Paris Nanterre,Nanterre
36,Université Paris-Dauphine,Paris
47,Université Paris-Est Créteil Val de Marne,Créteil
67,Université Paris-Panthéon-Assas,Paris
11,Université Paris-Saclay,Saint-Aubin
61,Université Paul Valéry Montpellier 3,Montpellier
82,Université Polytechnique Hauts-de-France,Valenciennes
39,Université Rennes 2,Rennes
56,Université Savoie Mont Blanc,Chambéry
48,Université Sorbonne Nouvelle - Paris 3,Paris
35,Université Sorbonne Paris Nord,Villetaneuse
33,Université Toulouse - Jean Jaurès,Toulouse
72,Université Toulouse Capitole,Toulouse
27,Université Toulouse III - Paul Sabatier,Toulouse
118,VetAgro Sup,Lempdes
